Clue (6),ANSWER
 Need aspirin? (4),ACHE
 Recover from a marathon (4),ACHE
 Tylenol target (4),ACHE
 Yearning (4),ACHE
 Needed liniment (5),ACHED
 Pains' partner (5),ACHES
 Yearns (5),ACHES
 Feel sore (6),ACHING
" ""God bless you"" precursor (5)",ACHOO
 Sneeze sound (5),ACHOO
 Eight. in Munich (4),ACHT
 Sore (4),ACHY
 Bitter (4),ACID
 Citric ____ (4),ACID
 Corrosive liquid (4),ACID
 Etcher's need (4),ACID
 Etching fluid (4),ACID
 Etching solution (4),ACID
 Tangy (4),ACID
 Emulating Pete Sampras (5),ACING
 Scoring on serve (5),ACING
 Civil rights org. (4),ACLU
 Rights org. (4),ACLU
 Rights org. (4),ACLU
 Rts. defender since 1920 (4),ACLU
 High point (4),ACME
 Wile E. Coyote's supplier (4),ACME
 Wile E. Coyote's supplier (4),ACME
 Zenith (4),ACME
 Zenith (4),ACME
 High points (5),ACMES
 Teen marker (4),ACNE
 Teen woe (4),ACNE
" 1988 film ""Rent-___"" (4)",ACOP
 Oak starter (5),ACORN
 Type of squash (5),ACORN
" ""Don't have __. man!"" (4)",ACOW
 About 4047 square meters (4),ACRE
 Field piece (4),ACRE
 Field unit (4),ACRE
 Land measure (4),ACRE
 Land-parcel piece (4),ACRE
 Lot measure (4),ACRE
 One of the lower forty (4),ACRE
 Plottage (4),ACRE
 Plottage (4),ACRE
 Real-estate ad word (4),ACRE
 Real-estate measure (4),ACRE
 Section section (4),ACRE
 Section section (4),ACRE
 Subdivision unit (4),ACRE
 Wide expanse (4),ACRE
 Units of area (5),ACRES
 Unpleasantly pungent (5),ACRID
 Unlike this (6),ACROSS
 Entr'__ (4),ACTE
 Hammed it up (5),ACTED
 Hit the big screen (5),ACTED
