Clue (6),ANSWER
" ""A Doll's House"" playwright (5)",IBSEN
" ""Ghosts"" writer (5)",IBSEN
 Norwegian playwright (5),IBSEN
 Top or log finisher (4),ICAL
 Start of a famous boast (5),ICAME
 Words of confidence (4),ICAN
 Quitter's comment (5),ICANT
 Whiner's cry (5),ICANT
 Recent glacial period (6),ICEAGE
 Winter effects (10),ICEANDCOLD
 Eiger gear (5),ICEAX
 Clinched the game (4),ICED
 Decorated a cake (4),ICED
 Kind of tea (4),ICED
 Like summer tea (4),ICED
 Like summer tea (4),ICED
 Like summer tea (4),ICED
 On the rocks (4),ICED
 On the rocks (4),ICED
 Tossed in some cubes (4),ICED
 Popular summer cooler (4),ICEE
" ""The __ Cometh"" (6)",ICEMAN
 Block deliverer (6),ICEMAN
 Vendors of yore (6),ICEMEN
 Cake finisher (4),ICER
 Cake finisher (4),ICER
 Bakery workers (5),ICERS
 Decorators. of a kind (5),ICERS
 Writers of sweet words? (5),ICERS
 Frosts. as a cake (4),ICES
 Summer treat (4),ICES
 Summer treat (4),ICES
 Summer treat (4),ICES
 Cool rapper? (4),ICET
 Rapper of note (4),ICET
 Rapper/actor (4),ICET
 Become frozen (5),ICEUP
 Wintery decoration (6),ICICLE
 More chilling (5),ICIER
 More chilling (5),ICIER
 Not so amicable (5),ICIER
 A way to be looked at (5),ICILY
 Frigidly (5),ICILY
 Said with a chill (5),ICILY
 Baker's coup de grace (5),ICING
 Cup cake topper (5),ICING
 Gretzky stall tactic (5),ICING
 Torte topper (5),ICING
 Repulsive (4),ICKY
 Clickable item (4),ICON
 Computer symbol (4),ICON
 Computer-screen image (4),ICON
 It's often clicked on (4),ICON
 Religious image (4),ICON
 Symbol (4),ICON
 Windows figure (4),ICON
 Windows picture (4),ICON
 Sacred images (5),ICONS
 Metrical stress (5),ICTUS
 Boise's state (5),IDAHO
 Sun Valley state (5),IDAHO
 Lupino and Cantor (4),IDAS
 Brain wave (4),IDEA
 Brain wave (4),IDEA
 Brainchild (4),IDEA
 Brainchild (4),IDEA
 Brainstorm (4),IDEA
 Brainstorm (4),IDEA
 Brainstorm (4),IDEA
 Brainstorm (4),IDEA
 Cartoon bubble (4),IDEA
 Clue (4),IDEA
 Comic light bulb? (4),IDEA
 Concept (4),IDEA
 Impression (4),IDEA
 Light bulb. in comics (4),IDEA
 Mental picture (4),IDEA
 Mental picture (4),IDEA
 New wrinkle (4),IDEA
 Notion (4),IDEA
 Notion (4),IDEA
 Notion (4),IDEA
 Notion (4),IDEA
 Notion (4),IDEA
 Notion (4),IDEA
 Something to run up the flagpole (4),IDEA
 Thought (4),IDEA
 Arcadian (5),IDEAL
 Edenic (5),IDEAL
 Paragon (5),IDEAL
 Perfect (5),IDEAL
 Perfect (5),IDEAL
 Perfect (5),IDEAL
 Perfection standard (5),IDEAL
 Utopian (5),IDEAL
 Conceptions (5),IDEAS
 Notions (5),IDEAS
 Notions (5),IDEAS
 They're sometimes abstract (5),IDEAS
 Nantes notion (4),IDEE
 Nice thought (4),IDEE
 __ fixe (4),IDEE
 __ fixe (4),IDEE
 ___ fixe (4),IDEE
 ____ fixe: obsession (4),IDEE
 Wallet contents. for short (5),IDENT
 Wallet contents. for short (5),IDENT
 Gram starter (4),IDEO
 Thoughtful prefix (4),IDEO
 Bad times for Caesar (4),IDES
 Fateful March date (4),IDES
 Friday the 13th. sometimes (4),IDES
 Least favorite times for Caesar (4),IDES
 March 15. e.g (4),IDES
 March 15. e.g. (4),IDES
 March time (4),IDES
 March time? (4),IDES
 Mid-March (4),IDES
 Mid-month. to Nero (4),IDES
 Middle March (4),IDES
 Middle March (4),IDES
 The 13th. usually (4),IDES
 Phrase of clarification (5),IDEST
 Personal prefix (4),IDIO
 Jargon (5),IDIOM
 Peculiar to a language (5),IDIOM
 Bonehead (5),IDIOT
" Dostoyevsky's ""The __"" (5)",IDIOT
 Dunderhead (5),IDIOT
 Lamebrain (5),IDIOT
 At rest (4),IDLE
 Between engagements (4),IDLE
 Cleese's cohort. once (4),IDLE
 Inactive (4),IDLE
 Like some threats (4),IDLE
 Like some threats (4),IDLE
 Lounge (4),IDLE
 Not in use (4),IDLE
 Not in use (4),IDLE
 Out of action (4),IDLE
 Wait at the stoplight (4),IDLE
 Waste time (4),IDLE
 Ran without going anywhere (5),IDLED
 Twiddled one's thumbs (5),IDLED
 Loafer (5),IDLER
 Sluggard (5),IDLER
 Wastrel (5),IDLER
 Sluggards (6),IDLERS
 In a lazy manner (4),IDLY
 Without interest (4),IDLY
 Without purpose (4),IDLY
 Baal. e.g. (4),IDOL
 Baal. e.g. (4),IDOL
 False god (4),IDOL
 Film star (4),IDOL
 Object of admiration (4),IDOL
 Object of adoration (4),IDOL
 Object of adoration (4),IDOL
 Object of devotion (4),IDOL
 Object of worship (4),IDOL
 Presley. for one (4),IDOL
 Sacred image (4),IDOL
 Tiki. e.g. (4),IDOL
 Adored ones (5),IDOLS
 False gods (5),IDOLS
 Graven images (5),IDOLS
 Shocking words at a wedding? (6),IDONOT
 Soldier's necklace (5),IDTAG
 Pastoral poem (4),IDYL
 Short. peaceful poem (4),IDYL
 MIT grad. soc. (4),IEEE
" ""Able was____I saw Elba"" (4)",IERE
" ""___ first you don't succeed..."" (4)",IFAT
" ""___ Pretty"" (song for Maria) (5)",IFEEL
" The Beatles' ""If __"" (5)",IFELL
 Former Spanish possession on the Atlantic coast of southwest Morocco (4),IFNI
 Lobster traps (4),IFNI
" ""__ shoe fits..."" (5)",IFTHE
" ""___ at the office"" (5)",IGAVE
" ""__ Around"" (4)",IGET
" ""____ a Kick...."" (4)",IGET
 Pop's pop (4),IGGY
 Block house? (5),IGLOO
 Coal delivery unit (5),IGLOO
 Domed home (5),IGLOO
 Domed home (5),IGLOO
 Snow packed houses (6),IGLOOS
 Avoid (6),IGNORE
" ""Prince ____"" (4)",IGOR
" ""Prince ____"" (4)",IGOR
" ""Prince ____"" (4)",IGOR
 Aviation pioneer Sikorsky (4),IGOR
" Borodin's unfinished ""Prince ___"" (4)",IGOR
 Composer Stravinsky (4),IGOR
 Composer Stravinsky (4),IGOR
 First name in helicopters (4),IGOR
 Frankenstein's assistant (4),IGOR
 Sikorsky or Stravinsky (4),IGOR
 Sikorsky or Stravinsky (4),IGOR
 Stravinsky's prince (4),IGOR
 Sikorsky and Stravinsky (5),IGORS
 Sikorsky and Stravinsky (5),IGORS
" ""What have __ to show for it?"" (4)",IGOT
" ""__ Rhythm"" (4)",IGOT
" ""__ Rhythm"" (4)",IGOT
" Sonny and Cher hit: ""___ You Babe"" (4)",IGOT
 South American lizard (6),IGUANA
 South American lizard (6),IGUANA
" ""If __ a Hammer"" (4)",IHAD
" ""If ___ a Hammer"" (4)",IHAD
" ""If ____ a hammer..."" (4)",IHAD
 If___a hammer (4),IHAD
" ""___ little pony..."" (5)",IHADA
" ""____ a dream..."" (5)",IHAVE
 So they tell me! (5),IHEAR
 Breakfast chain. informally (4),IHOP
 Flapjack chain (4),IHOP
 Flapjack franchise (4),IHOP
 Pancake house chain. for short (4),IHOP
 Pancake palace (4),IHOP
" ""___ Three Lives"" (4)",ILED
" ""___ Three Lives"" (4)",ILED
 Mer sights (4),ILES
 Mer sights (4),ILES
 Mer sights (4),ILES
" ""__ a Song Go ..."" (4)",ILET
" ""__ a song go..."" (4)",ILET
" ""____ a Song go ..."" (4)",ILET
" ""____ a Song go ..."" (4)",ILET
" ""___ Song Go Out Of My Heart"" (5)",ILETA
" ""____ Song Go..."" (5)",ILETA
" ""Idomeneo"" role (4)",ILIA
" ""Idomeneo"" role (4)",ILIA
 Hip bones (4),ILIA
 Hip bones (4),ILIA
 Pelvic bones (4),ILIA
 Pelvic bones (4),ILIA
 Pelvic bones (4),ILIA
 Pelvis parts (4),ILIA
 Sacro finisher (5),ILIAC
 Sacro finisher (5),ILIAC
 Homer classic (5),ILIAD
 Homeric epic (5),ILIAD
 The saga of Troy (5),ILIAD
" ""Nasty"" first name in tennis (4)",ILIE
" ""Would __ to you?"" (4)",ILIE
 Bad boy Nastase of tennis (4),ILIE
 Nastase of tennis (4),ILIE
 Nastase of tennis (4),ILIE
 Nastase of the courts (4),ILIE
 Tennis' Nastase (4),ILIE
 Troy. as it's also known (5),ILION
" ""As ___ and breathe"" (5)",ILIVE
 Actress Chase (4),ILKA
 Miss Chase (4),ILKA
 Not as well (5),ILLER
 Difficulties (4),ILLS
 Troubles (4),ILLS
 Shed light on (6),ILLUME
 Actress Massey (5),ILONA
 Massey of old films (5),ILONA
 Massey of old films (5),ILONA
 Ms. Massey (5),ILONA
" ""__ a Parade"" (5)",ILOVE
" ""__ a Parade"" (5)",ILOVE
" Ingrid's ""Casablanca"" role (4)",ILSA
 Body or mirror (5),IMAGE
 Likeness (5),IMAGE
 Likeness (5),IMAGE
 Mental picture (5),IMAGE
 Mirror __ (5),IMAGE
 Picture (5),IMAGE
 Reflection (5),IMAGE
 Reflection (5),IMAGE
 Insect stage (5),IMAGO
 Islamic leader (4),IMAM
 Moslem holy man (4),IMAM
 Moslem title (4),IMAM
 Mosque man (4),IMAM
 Muslim priests (5),IMAMS
" ""___ old cowhand..."" (4)",IMAN
" ""___ old cowhand..."" (4)",IMAN
" ""___ old cowhand..."" (4)",IMAN
 African-born supermodel (4),IMAN
 Somali-born supermodel (4),IMAN
 Japanese porcelain (5),IMARI
" ""____ corny as Kansas...."" (4)",IMAS
 Remark heard on a green (6),IMAWAY
 Consume. in a way (6),IMBIBE
 Permeate (5),IMBUE
 Clarifying words (5),IMEAN
 Noted shoe lover (6),IMELDA
" ""____ a man..."" (4)",IMET
" ""___ man with seven wives"" (5)",IMETA
" ""____ crook!"" (70's phrase) (4)",IMNO
" ""__ Rappaport"" (5)",IMNOT
 African antelope (6),IMPALA
 Stick on a stick (6),IMPALE
 Drive forward (5),IMPEL
 Incapable of being affected (10),IMPERVIOUS
 Assail with words (6),IMPUGN
 He's a morning person? (4),IMUS
 He's a morning person? (4),IMUS
 Shortly (6),INABIT
" ""..the bombs bursting __ ..."" (5)",INAIR
 How some popcorn is popped (5),INAIR
 __ instant (at once) (4),INAN
 __ uproar (4),INAN
 __ uproar (4),INAN
 Empty-headed (5),INANE
 Empty-minded (5),INANE
 Foolish (5),INANE
 Pointless (5),INANE
 Pointless (5),INANE
 Silly (5),INANE
 Silly (5),INANE
 Nonsense (10),INAPIGSEYE
" ""... with ya ___"" (quickly) (6)",INASEC
 __ the finish (4),INAT
 Catching some z's (5),INBED
 Andean of old (4),INCA
 Cuzco native of yore (4),INCA
 Early Peruvian (4),INCA
 Machu Picchu people (4),INCA
 Native Peruvian (4),INCA
 Past Peruvian (4),INCA
 Peruvian (4),INCA
 Peruvian native (4),INCA
 South American (4),INCA
 Early Peruvian (5),INCAN
 Early Peruvian (5),INCAN
 Machu Picchu artifact (5),INCAN
 Of Andes natives (5),INCAN
 Early Peruvians (5),INCAS
 Peruvian settlers (5),INCAS
 72 points. give or take (4),INCH
 Creep along (4),INCH
 Move slowly (4),INCH
 Short distance (4),INCH
 Creeps (6),INCHES
 Engrave (6),INCISE
 Bring upon oneself (5),INCUR
 Takes over (6),INCURS
 South African native council (6),INDABA
" ""... is a friend __ (6)",INDEED
" ""Gandhi"" setting (5)",INDIA
 ____ ink (5),INDIA
" Ellington's ""Mood __"" (6)",INDIGO
 Round about (10),INDIRECTLY
 Before china or lent (4),INDO
 Introduction to Chinese? (4),INDO
 Introduction to Chinese? (4),INDO
 Neither Dems. or Reps: Abbr. (4),INDS
 Annual Memorial Day event (4),INDY
 Noted auto race. informally (4),INDY
 __ 500 (4),INDY
" ""____ Lover."" 1979 Mellencamp hit (6)",INEEDA
 Prone to goofs (5),INEPT
 Languid (5),INERT
 Motionless (5),INERT
 Nonreactive (5),INERT
 Nonreactive (5),INERT
 Existing (6),INESSE
" ""Mockingbird"" singer Foxx (4)",INEZ
 Don Juan's mother (4),INEZ
 Don Juan's mother (4),INEZ
 Don Juan's mother (4),INEZ
 Conjecture (5),INFER
 Speculate (5),INFER
 Overrun (6),INFEST
 Tributary stream (6),INFLOW
 Facts. in slang (4),INFO
 Lowdown (4),INFO
 Actress Swenson (4),INGA
 Actress Swenson (4),INGA
" Swenson of ""Benson"" (4)",INGA
" ""Bus Stop"" playwright (4)",INGE
" ""Come Back. Little Sheba"" author (4)",INGE
" ""Picnic"" author (4)",INGE
" ""Picnic"" dramatist (4)",INGE
" ""Picnic"" playwright (4)",INGE
" ""Picnic"" playwright (4)",INGE
" ""Picnic"" writer (4)",INGE
" ""Picnic"" writer (4)",INGE
 Fireplace (5),INGLE
 One of the Bergmans (6),INGMAR
 Metal block (5),INGOT
 Metal masses (6),INGOTS
 Breathe in (6),INHALE
 Get a lungful (6),INHALE
 One way to cut something (6),INHALF
 Be a part of (6),INHERE
 At the pawn shop (6),INHOCK
" ""We're all ___ together"" (4)",INIT
" ""What's __ for me?"" (4)",INIT
 Press mechanism (5),INKER
 Tape for trim (5),INKLE
 Signs. as a contract (4),INKS
 Black as night (4),INKY
 Pitch-black (4),INKY
" ""To Live and Die __"" (4)",INLA
 Away from the coast (6),INLAND
 Relative by marriage (5),INLAW
 Dental filling (5),INLAY
 Covered with foliage (6),INLEAF
 Cove (5),INLET
 Narrow waterway (5),INLET
 Narrow waterway (5),INLET
 Shoreline recess (5),INLET
 Small bay (5),INLET
 Small bay (5),INLET
 Small cove (5),INLET
 Small bays (6),INLETS
 Joint tenant? (6),INMATE
 Nearest the center (6),INMOST
 Roadhouse. in colonial times (4),INNE
 Sanctum or tube (5),INNER
 Like most navels (5),INNIE
 __ way. shape. or form (4),INNO
 ___ time (immediately) (4),INNO
 Holiday and Quality (4),INNS
 Hostels (4),INNS
 Travelers' stopovers (4),INNS
 Travelers' stopovers (4),INNS
 If Lima isn't in Peru, where is it? (6),INOHIO
 Hip to. as a secret (4),INON
 Privy to (4),INON
 Privy to (4),INON
 Privy to (4),INON
 Privy to (4),INON
" "" ___ out?"" (poker query) (4)",INOR
" ""Peace __ time"": Neville Chamberlain (5)",INOUR
 About (4),INRE
 As to (4),INRE
 Concerning (4),INRE
 Concerning (4),INRE
 Concerning (4),INRE
 Concerning (4),INRE
 Concerning (4),INRE
 Concerning (4),INRE
" ""The Lady __"" (5)",INRED
 How some losses are printed (5),INRED
 Cross letters (4),INRI
 Cross letters (4),INRI
 Crucifix inscription (4),INRI
 Words on a cross (4),INRI
 Kimono accessory (4),INRO
 Obi attachment (4),INRO
 Damaging encroachment (6),INROAD
 Small perfume holders (5),INROS
 Bonkers (6),INSANE
 Mad (6),INSANE
 Leg line (6),INSEAM
 Trouser measurement (6),INSEAM
 Garden pest (6),INSECT
 Bill-changer instruction (6),INSERT
 Cut and paste (6),INSERT
 Atlas enlargement (5),INSET
 Atlas feature (5),INSET
 Map feature (5),INSET
 Map in a map (5),INSET
 Map in a map (5),INSET
 Map within a map (5),INSET
 Map within a map (5),INSET
 Shoe cushion (6),INSOLE
 Part of MIT (4),INST
 Part of R.P.I. (4),INST
 Part of RPI (4),INST
 Unblemished (6),INTACT
 Consumed amount (6),INTAKE
 Well-off (10),INTHECHIPS
" ""...and __ the fire"" (4)",INTO
" ""...and __ the fire"" (4)",INTO
" ""__ each life some rain ..."" (4)",INTO
" ""___ each life some..."" (4)",INTO
 A big fan of (4),INTO
 Division word (4),INTO
 Gung-ho about (4),INTO
 Hooked on (4),INTO
 Involved with (4),INTO
 Partaking of (4),INTO
 Penetrating preposition? (4),INTO
 Preoccupied with (4),INTO
 Really involved with (4),INTO
 Following along (5),INTOW
 Visiting. perhaps (6),INTOWN
 Mural start (5),INTRA
 Mural starter (5),INTRA
 Mural type (5),INTRA
 Opening musical passage (5),INTRO
 Opening remarks. casually (5),INTRO
 Within. in combinations (5),INTRO
 Emcee tasks (6),INTROS
 Like good violin playing (6),INTUNE
 Northern native people (5),INUIT
 Accustom (5),INURE
 Condition (5),INURE
 Habituate (5),INURE
 Hardened to (6),INURED
 Occupied (5),INUSE
 Commit capital (6),INVEST
 66749 (4),IOLA
 She spumed Hercules (4),IOLE
 Hebrides island (4),IONA
 Hebrides island (4),IONA
 Hebrides isle (4),IONA
 Hebrides isle (4),IONA
 New Rochelle. NY college (4),IONA
" Skye of ""Say Anything"" (4)",IONE
 Skye on film (4),IONE
 Ancient Aegean region (5),IONIA
 Ancient Greek settlement (5),IONIA
 Temple of Artemis land (5),IONIA
 Column variety (5),IONIC
 Greek column style (5),IONIC
 They're charged (4),IONS
 It's a grand (4),IOOO
 A wee bit (4),IOTA
 Scintilla (4),IOTA
 Small bit (4),IOTA
 Small bit (4),IOTA
 Smidgen (4),IOTA
 The least bit (4),IOTA
 The least bit (4),IOTA
 Tiny bit (4),IOTA
 Tittle (4),IOTA
 Whit (4),IOTA
 Just jots (5),IOTAS
 Tiny bits (5),IOTAS
 A Corn Belt state (4),IOWA
 Hawkeye state (4),IOWA
 Part of the Louisiana Purchase (4),IOWA
 Where Indianola is (4),IOWA
 Cedar Rapids resident (5),IOWAN
 Dubuque resident (5),IOWAN
 Hawkeye State resident (5),IOWAN
 Classic toothpaste name (5),IPANA
 Colgate competitor. once (5),IPANA
 Crest competitor (5),IPANA
 Reaction to a low-point bridge hand (5),IPASS
 __ facto (4),IPSO
 __ facto (4),IPSO
 ___ facto (4),IPSO
 ____ facto (4),IPSO
 Dies ____ (4),IRAE
 OPEC member (4),IRAN
 Oil-producing country (4),IRAN
 Pahlavi's former domain (4),IRAN
 Persia. formerly (4),IRAN
 Persia. now (4),IRAN
 Persia. now (4),IRAN
 Tabriz locale (4),IRAN
 Zagros' Mountains locale (4),IRAN
 Farsi speaker (5),IRANI
 Middle East native (5),IRANI
 Persian of today (5),IRANI
 Persian of today (5),IRANI
 Persian of today (5),IRANI
 Persian. today (5),IRANI
 Tabriz native (5),IRANI
 Teheran native (5),IRANI
 Teheran native (5),IRANI
 Shiraz residents (6),IRANIS
 Teheran natives (6),IRANIS
 Country in the news (4),IRAQ
 Land of conflict (4),IRAQ
 Basra native (5),IRAQI
 Basra native (5),IRAQI
 Basra resident (5),IRAQI
 Gershwin and Levin (4),IRAS
 Levin and Gershwin (4),IRAS
 Retirement accts. (4),IRAS
 Some investments. for short (4),IRAS
 Tax-deferred accts. (4),IRAS
 Boiling mad (5),IRATE
 Fuming (5),IRATE
 Furious (5),IRATE
 Furious (5),IRATE
 In a pique (5),IRATE
 Mad as a wet hen (5),IRATE
 Mad as heck (5),IRATE
 Steamed (5),IRATE
 Aroused one's wrath (4),IRED
 Fed up with (4),IRED
 Seething (4),IRED
 Vexed (4),IRED
 Cara or Castle (5),IRENE
 Dunne or Papas (5),IRENE
 Goodnight girl (5),IRENE
 Papas of film (5),IRENE
" Ryan of ""The Beverly Hillbillies"" (5)",IRENE
 Angers (4),IRES
 Maddens (4),IRES
 Maddens (4),IRES
 More than upsets (4),IRES
 Outrages (4),IRES
 Ticks off (4),IRES
" ""___ my case!"" (5)",IREST
 Eye parts (6),IRIDES
" ""Under the Net"" writer Murdoch (4)",IRIS
" ""Under the Net"" writer Murdoch (4)",IRIS
 Blue flag (4),IRIS
 Eye part (4),IRIS
 Messenger of the gods (4),IRIS
 Novelist Murdoch (4),IRIS
 Pupil's place (4),IRIS
 Rainbow goddess (4),IRIS
 Pupil controllers (6),IRISES
 From the old sod (5),IRISH
 Kind of coffee or whiskey (5),IRISH
 Like Abie's Rose (5),IRISH
 Annoys (4),IRKS
 Bugs (4),IRKS
 Ruffles feathers (4),IRKS
" ""___ La Douce"" (4)",IRMA
" ""___ La Douce"" (4)",IRMA
" ""____ La Douce"" (4)",IRMA
" 50's sitcom ""My Friend ___ "" (4)",IRMA
 Marie Wilson TV role (4),IRMA
 Shirley's 1963 portrayal (4),IRMA
 Appliance on a board (4),IRON
 Board appliance (4),IRON
 Common ore (4),IRON
 De-crease (4),IRON
 Decrease? (4),IRON
 Ferrous ore (4),IRON
 Geritol supplement (4),IRON
 It can curl your hair (4),IRON
 It's pumped at the gym (4),IRON
 Mangle (4),IRON
 Precedes hand and fist (4),IRON
 Precedes hand or will (4),IRON
 Press (4),IRON
 Press (4),IRON
 Spiff up the shirts (4),IRON
 Press agent? (6),IRONER
 Like a twist of fate (6),IRONIC
 Heat-bonded patch (6),IRONON
 Caddie's bagful (5),IRONS
 O. Henry device (5),IRONY
 Subtle twist (5),IRONY
 Indecisive (10),IRRESOLUTE
 US employee (10),IRSAUDITOR
" ""Rich Man. Poor Man"" author ____ Shaw (5)",IRWIN
" ""Rich Man. Poor Man"" author ____ Shaw (5)",IRWIN
 Stern. the musician (5),ISAAC
 Singer and others (6),ISAACS
 Chilean author Allende (6),ISABEL
 O.T. book (6),ISAIAH
" ""No man __ island ..."" (4)",ISAN
" ""No man ___ island.."" (4)",ISAN
" ""This __ outrage!"" (4)",ISAN
" ""Stupid __ stupid does"" (4)",ISAS
" ""__ the Light"": 1972 hit (4)",ISAW
 Second of a Caesarean trio (4),ISAW
 British exclamation (4),ISAY
 Britisher's exclamation (4),ISAY
 Britisher's exclamation (4),ISAY
" ""Oh. yeah!"" (4)",ISEE
" ""That explains it"" (4)",ISEE
" ""Uh. huh"" (4)",ISEE
 Aha! (4),ISEE
 Fortune teller's start (4),ISEE
 Fortune-teller's starting words (4),ISEE
 Fortuneteller's beginning (4),ISEE
 Fortuneteller's start (4),ISEE
 Fortuneteller's start (4),ISEE
 Fortuneteller's words (4),ISEE
 Got it! (4),ISEE
 Start of a fortune teller's prophecy (4),ISEE
 Understanding words (4),ISEE
 Words of comprehension (4),ISEE
 Words of comprehension (4),ISEE
 Words of understanding (4),ISEE
 Words of understanding (4),ISEE
 Words of understanding (4),ISEE
 Words of understanding (4),ISEE
" ""___ a Letter to My Love"" (Signoret film) (5)",ISENT
 Grenobles river (5),ISERE
 River of SE France (5),ISERE
 River to the Rhone (5),ISERE
" ""____ the Sheriff"" (Clapton classic) (5)",ISHOT
 Hoops star Thomas (5),ISIAH
" ""Beauty __ the eye..."" (4)",ISIN
" ""The check ____the mail"" (4)",ISIN
 Egyptian goddess (4),ISIS
 Egyptian goddess (4),ISIS
 Egyptian goddess (4),ISIS
 Egyptian mother goddess (4),ISIS
 Wife and sister of Osiris (4),ISIS
" Madonna's ""La __ Bonita"" (4)",ISLA
 Muhammad's faith (5),ISLAM
 Shi'ite's faith (5),ISLAM
 Shi'ite's faith (5),ISLAM
 Small land mass in the water (6),ISLAND
 Britain's ____ of Man (4),ISLE
 Ely or Pines (4),ISLE
 Majorca or Minorca (4),ISLE
 One is Man (4),ISLE
 Skye or Wight (4),ISLE
 South Seas spot (4),ISLE
 The Emerald __ (4),ISLE
 Welcome sight after a shipwreck (4),ISLE
 Wight or Royale (4),ISLE
 Wight. for one (4),ISLE
 Wight. for one (4),ISLE
 Man and Capri (5),ISLES
 Man and Wight (5),ISLES
 Man and Wight (5),ISLES
 Some are British (5),ISLES
 Map specks (6),ISLETS
 Long Island town (5),ISLIP
" ""Woe __!"" (4)",ISME
" ""Ain't"" completely? (5)",ISNOT
" ""Once ___ Enough"" (5)",ISNOT
" ""Well. ___ that special!"" (4)",ISNT
 Weather-map line (6),ISOBAR
 Weatherman's line (6),ISOBAR
 Tristan's lady (6),ISOLDE
 Tristan's love (6),ISOLDE
 Same substance. different properties (6),ISOMER
" ""The pen of my aunt ___..."" (4)",ISON
" ""The pen of my aunt ___..."" (4)",ISON
" ""Time __ My Side"" (4)",ISON
" ""Time __ My Side"" (4)",ISON
" ""Time __ My Side"" (4)",ISON
 Certain TV cameras (4),ISOS
 Has left for the day. e.g. (5),ISOUT
 Dead Sea land (6),ISRAEL
 Dead Sea land (6),ISRAEL
 Desert country (6),ISRAEL
 First generation Japanese immigrants (6),ISSEIS
" ""... __ rare as a day in June?"" (4)",ISSO
 Magazine edition (5),ISSUE
 Put into circulation (5),ISSUE
 Put out (5),ISSUE
 Subscription unit (5),ISSUE
 Agave fiber (5),ISTLE
 Ratio words (4),ISTO
 Final and fundamental endings (4),ISTS
 Final and fundamental endings (4),ISTS
 Professional suffixes (4),ISTS
" ""The jig ___!"" (4)",ISUP
 Native of Parma: abbr. (4),ITAL
 Printing abbr. (4),ITAL
 Romance lang. (4),ITAL
 Romance lang. (4),ITAL
 Slanted: abbr. (4),ITAL
 Sloping type (abbr.) (4),ITAL
 Bologna's land. to a Bolognese (6),ITALIA
 Bologna's land. to a Bolognese (6),ITALIA
 Dante's land (6),ITALIA
 Sicilia's land (6),ITALIA
 Word on some European coins (6),ITALIA
 Slanted to the right (6),ITALIC
 Type of type (6),ITALIC
 Type style (6),ITALIC
 Type type (6),ITALIC
 Novelist Calvino (5),ITALO
 Writer Calvino (5),ITALO
 Boot of Europe (5),ITALY
 Country with a boot (5),ITALY
 Dante's land (5),ITALY
" Europe's ""boot"" (5)",ITALY
 News agency acronym (4),ITAR
 __-Tass (4),ITAR
 __-Tass (4),ITAR
 __-Tass (Russian news agency) (4),ITAR
 __-Tass (Russian news agency) (4),ITAR
 ___-Tass (4),ITAR
" ""Take __ a compliment"" (4)",ITAS
" ""Let __"" (4)",ITBE
 Chicken-pox symptom (4),ITCH
 What to scratch (4),ITCH
 They may be hard to reach (6),ITCHES
 Like dandruff (5),ITCHY
 Restless (5),ITCHY
 Restless (5),ITCHY
 Bit of gossip (4),ITEM
 Bit of gossip (4),ITEM
 Celebrity couple (4),ITEM
 Express-checkout unit (4),ITEM
 It's on the agenda (4),ITEM
 Laundry-list component (4),ITEM
 Magazine piece (4),ITEM
 News story (4),ITEM
 Newspaper notice (4),ITEM
 Part of a list (4),ITEM
 Particular (4),ITEM
 Piece of news (4),ITEM
 Piece of news (4),ITEM
 Social note (4),ITEM
 Tabloid twosome (4),ITEM
 List components (5),ITEMS
 List components (5),ITEMS
 Particulars (5),ITEMS
 Appian Way (4),ITER
 Road in ancient Rome (4),ITER
 Road to old Rome (4),ITER
 Use this in Rome (4),ITER
 End for Canaan (4),ITES
" ""__ Jury"" (Spillane novel) (4)",ITHE
" ""__ Jury"" (Spillane novel) (4)",ITHE
 Pol follower (4),ITIC
 Pack _____ (end) (4),ITIN
" ""How sweet __!"" (4)",ITIS
" ""How sweet __!"" (4)",ITIS
" ""Believe __ not"" (4)",ITOR
" ""Take ____ leave it!"" (4)",ITOR
" ""Let ___!"" (go for broke) (6)",ITRIDE
" ""__ Wonderful Life"" (4)",ITSA
" ""__ Wonderful Life"" (4)",ITSA
" ""__ Wonderful Life"" (4)",ITSA
" ""__ boy!"" (4)",ITSA
" ""___ Wonderful Life"" (4)",ITSA
" Words before ""boy"" or ""girl"" (4)",ITSA
" ""Who's there?"" response (5)",ITSME
 _____ big deal (5),ITSNO
" ""__ Bitsy Spider"" (4)",ITSY
" ""Tell __ the judge!"" (4)",ITTO
 ___-bitty (4),ITTY
" ""Terrible"" czar (4)",IVAN
" ""Terrible"" ruler (4)",IVAN
" ""Terrible"" ruler (4)",IVAN
 He was terrible (4),IVAN
 Lendl of tennis (4),IVAN
 Lendl of tennis (4),IVAN
 Terrible czar (4),IVAN
 A Trump (5),IVANA
" ""__ it!"" (outfielder's call)� (6)",IVEGOT
 Balladeer Burl (4),IVES
" Burl of ""East of Eden"" (4)",IVES
 Currier's partner (4),IVES
 Folk singer Burl (4),IVES
 Folk singer Burl (4),IVES
 Folk singer Burl (4),IVES
 Overgrown. in a way (5),IVIED
 Actor Novello (4),IVOR
 Actor-songwriter Novello (4),IVOR
 Composer Novello (4),IVOR
 Thespian Novello (4),IVOR
 Tusk material (5),IVORY
 Country on the Gulf of Guinea (10),IVORYCOAST
" ""__ Teenage Werewolf"" (5)",IWASA
" ""Alligator"" shirt maker (4)",IZOD
 Name on sportswear (4),IZOD
 Shirt name (4),IZOD
 Sportswear name (4),IZOD
